Genes,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
PGP,954,1428,871,1275,1169,979,2137,1977,1482,1035,1075,381,426,414,808,426,518,420,821,394
PGRMC1,12130,9776,7012,26679,52747,9126,23867,19179,11179,11941,11867,6099,9426,8212,10149,10801,7199,7678,8612,6156
PGRMC2,2996,4545,4051,6366,6802,5691,3553,7963,5102,5878,5036,5161,5696,8850,7103,6181,6063,5516,3329,8601
PGR,36,888,48,24,120,165,66,25,14,41,7357,235,25997,712,3059,3334,1673,9825,5313,497
PGS1,1478,1362,538,2103,719,2326,1257,3477,1504,850,1500,800,1696,814,920,1375,809,914,981,597
PHACTR1,24,20,31,16,24,2235,32,28,108,302,56,50,85,80,81,86,17,48,18,57
PHACTR2,1105,1782,593,1825,2492,4523,3414,1713,2399,758,1813,3461,4112,3433,2060,3102,2678,3058,759,3732
PHACTR4,3440,2649,1616,15618,3092,6045,3054,3132,4666,1619,2770,1229,4584,1483,1742,3864,1803,2260,2083,1047
PHAX,1231,1040,390,1919,1469,1499,1285,1855,1432,640,1459,956,2078,1267,965,1658,1144,1242,852,1218
PHB2,8509,7525,4655,11730,4686,13946,19579,70581,19665,11565,11006,4834,11166,6556,9043,7697,5500,6585,10769,5258
PHB,6608,7955,5469,21021,11473,9769,18525,14173,25736,5558,8497,3792,6841,4955,7626,5514,4166,4281,15861,4668
PHC1,832,836,767,2416,655,4225,2207,4440,2052,1154,1792,660,2091,606,978,2028,1057,1090,1135,517
PHC2,7083,7545,3560,23247,3145,14975,7916,17808,11509,3720,12415,3671,7918,3253,6904,6571,5338,5204,8049,3721
PHC3,3408,3529,1336,3240,4509,8448,4842,2410,3679,941,3220,3120,6669,4069,2587,6138,3853,4039,1622,3102
PHF10,1909,2629,1887,4633,3739,4278,15031,8516,12328,2107,5921,3150,7560,4014,3943,6680,4380,4806,2982,3594
PHF11,1169,2204,824,180,2802,2037,2409,3153,1064,692,2727,1239,1838,1125,1676,2424,1154,1525,1263,1310
PHF12,1905,2463,1991,4502,3553,3344,1885,3041,3668,829,4477,1452,4139,1707,2457,4049,2014,2782,2502,1407
PHF13,2003,2098,955,3210,1326,4246,1421,4300,2761,2472,2701,1226,3569,2364,2091,2764,1307,2128,2241,1422
PHF14,2354,2514,2140,5444,3373,8102,8052,5162,6042,2177,2977,1247,3730,1406,1975,2889,1545,1863,2039,1343
PHF15,781,975,266,190,1900,4195,505,5022,1384,186,3496,2372,3922,2148,3519,5431,3316,3119,1904,2375
PHF16,1234,1875,737,2693,3379,1858,2497,3271,2625,1949,1176,425,1497,670,1113,2459,1215,803,574,499
PHF17,1363,1460,1640,3450,2497,1493,1511,2942,2189,811,6101,2894,3676,4906,3983,4572,4379,3410,1292,4562
PHF19,2698,2305,987,2343,571,3420,4079,2815,3860,581,1430,1476,1084,1083,1439,1121,866,970,879,1373
PHF1,1494,2355,2660,2430,1574,2761,1550,3200,3908,721,4554,1398,3332,1824,3742,4332,1750,3275,2622,1519
PHF20L1,3710,5025,2980,4227,12489,7139,2521,5034,3555,1698,2539,1504,4433,1917,1556,2956,2727,1903,1442,1928
PHF20,2869,2353,2314,6882,5251,3103,2896,14724,4775,3528,3613,2166,4924,2528,2874,4371,3593,2990,2341,2258
PHF21A,1629,2172,1460,3892,1697,3311,1959,7379,2884,1638,2856,1919,3376,1801,2331,3182,1712,2143,1831,1957
PHF23,1735,1742,1030,1578,2435,2455,1919,6042,1947,1476,3896,1114,2501,1242,2449,2058,1251,1650,2223,1056
PHF2,2411,2726,2476,7997,3001,4437,2040,2093,4172,1492,4056,2373,5692,2987,3262,4904,3061,3663,2690,2536
PHF3,3023,6369,1370,6723,7533,15151,4767,11389,8664,2925,5996,4709,9923,5687,4233,9871,5349,6164,3461,6047
PHF5A,1323,1576,835,3399,1494,2084,3170,3543,4487,843,1970,718,1173,804,1185,1171,846,1005,1162,914
PHF6,3236,1276,1478,5041,4260,2714,4073,5336,3370,1190,1356,924,2568,898,1173,1986,1097,1317,974,784
PHF7,111,72,92,54,178,285,46,88,188,52,406,117,347,266,313,341,171,347,162,251
PHF8,1586,1850,981,2833,6947,6268,2352,3147,2599,1931,2622,1421,3467,1639,2415,3796,1863,1937,2319,1243
PHGDH,3281,16032,3536,19615,2780,29784,28880,36022,15999,5512,5334,3256,5691,9085,2996,4804,4357,3995,7133,6770
PHIP,3415,2397,3668,6962,5871,9310,9002,6252,5915,2701,4054,2951,9671,3372,2680,7942,3988,4939,1871,2874
