Sample,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
KLHDC3,5805,8627,8502,12434,4397,12496,11921,23970,10373,6406,6592,3741,6504,3991,6045,5298,3215,4195,5789,4296
CD68,8571,12297,1173,1786,8517,17753,1421,9942,6799,2344,7725,28054,2622,5187,14821,5209,4261,3585,2634,9854
PPP2CA,5932,5264,4410,12496,7936,11762,14564,15816,7602,4981,8821,4217,8985,4736,6926,7034,5625,6207,6847,4100
SOX9,14280,8008,8470,3442,3244,8693,16883,22594,13127,3888,6102,188,14521,497,4458,7468,2939,6872,8029,363
API5,6039,7053,2358,10932,10360,15142,11161,15417,12758,2875,7306,4236,8664,4728,5234,8557,6000,5920,5031,4188
PTK2,5656,9388,6696,10226,21044,14663,6538,11323,10811,5990,5684,4250,6439,4562,4677,7071,5669,5670,3688,3866
SLC9A3R1,5202,10603,1809,15800,6492,9192,4477,11804,2510,5924,22540,1250,10775,1202,6566,6951,4477,6029,19304,929
H19,3657,14455,3709,3539,3193,1770,7983,1361,2401,12718,9514,9255,9324,26675,9703,2738,9010,6831,1470,14495
NPLOC4,6808,9961,4088,15208,7399,17039,5865,12116,11946,4155,5487,4847,5797,7658,7383,5745,5617,4331,4393,7954
SAP18,6153,5644,4462,11351,12234,7341,14539,8569,11227,4987,9181,4781,6437,6853,8034,7340,5424,5873,5953,7203
METTL7A,755,2461,6731,11418,10440,2734,619,5147,572,3999,11486,12281,12117,13212,13046,12163,9473,8615,3958,12231
HGSNAT,4576,5928,12753,10094,14082,14997,5904,6012,10927,1787,7068,6097,8640,5847,6834,7563,7197,5514,5281,6341
ZNF24,3749,3995,6593,10399,15102,14862,6934,10576,13581,3663,6860,3183,11507,4637,5044,10970,6366,6566,4851,3962
CXCR4,4110,3045,10022,79495,4781,5363,7026,10930,3342,1651,3572,1074,2379,429,4679,2305,1585,3378,2374,1796
SDC2,3246,17823,6805,2376,5003,11664,2012,10470,2925,822,5457,17373,6324,11360,10328,5410,9947,7336,4685,11872
UBE2Z,5882,8537,2268,12963,11338,11622,7670,8610,17101,3107,8768,4031,8310,3479,5948,6985,4686,5254,12940,3720
